model_name,session_id,process_adaptation,rule_adaptation_method,tour,seed,correct_matches,correct_columns,file_extracted,mails_sent,all_correct,recursion_limit_frame,recursion_limit_process,timeout_frame,timeout_process,error_frame,error_process
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09A_seed_42,base_rule,classic,J09A,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09A_seed_1824,base_rule,classic,J09A,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09A_seed_409,base_rule,classic,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09A_seed_4506,base_rule,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09A_seed_4012,base_rule,classic,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09B_seed_42,base_rule,classic,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09B_seed_1824,base_rule,classic,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09B_seed_409,base_rule,classic,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09B_seed_4506,base_rule,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09B_seed_4012,base_rule,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09C_seed_42,base_rule,classic,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09C_seed_1824,base_rule,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09C_seed_409,base_rule,classic,J09C,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09C_seed_4506,base_rule,classic,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09C_seed_4012,base_rule,classic,J09C,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_classic_tour_J09D_seed_42,base_rule,classic,J09D,42,True,True,True,True,True,False,False,False,False,False,False
