model_name,session_id,process_adaptation,rule_adaptation_method,tour,seed,correct_matches,correct_columns,file_extracted,mails_sent,all_correct,recursion_limit_frame,recursion_limit_process,timeout_frame,timeout_process,error_frame,error_process
gpt-5.1,processadaptation_0_values_processadaptationmethod_generate_bpmn_tour_J09B_seed_4506_exception_handling,0_values,generate_bpmn,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_generate_bpmn_tour_J09B_seed_1824_exception_handling,base_rule,generate_bpmn,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_generate_bpmn_tour_J09C_seed_42_exception_handling,900_values,generate_bpmn,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_generate_bpmn_tour_J09A_seed_409_exception_handling,900_values,generate_bpmn,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_generate_bpmn_tour_J09D_seed_409_exception_handling,500_values,generate_bpmn,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_generate_bpmn_tour_J09D_seed_42_exception_handling,0_values,generate_bpmn,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_generate_bpmn_tour_J09B_seed_1824_exception_handling,0_values,generate_bpmn,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_generate_bpmn_tour_J09A_seed_409_exception_handling,0_values,generate_bpmn,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_estimates_processadaptationmethod_generate_bpmn_tour_J09B_seed_4506_exception_handling,extension_estimates,generate_bpmn,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_generate_bpmn_tour_J09B_seed_4506_exception_handling,base_rule,generate_bpmn,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_generate_bpmn_tour_J09B_seed_409_exception_handling,base_rule,generate_bpmn,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_generate_bpmn_tour_J09A_seed_4506_exception_handling,0_values,generate_bpmn,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_generate_bpmn_tour_J09D_seed_42_exception_handling,500_values,generate_bpmn,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_generate_bpmn_tour_J09B_seed_4012_exception_handling,0_values,generate_bpmn,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_generate_bpmn_tour_J09A_seed_4012_exception_handling,900_values,generate_bpmn,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_generate_bpmn_tour_J09D_seed_409_exception_handling,900_values,generate_bpmn,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_base_rule_processadaptationmethod_generate_bpmn_tour_J09A_seed_4506_exception_handling,base_rule,generate_bpmn,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_generate_bpmn_tour_J09C_seed_1824_exception_handling,900_values,generate_bpmn,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_0_values_processadaptationmethod_generate_bpmn_tour_J09B_seed_42_exception_handling,0_values,generate_bpmn,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_generate_bpmn_tour_J09C_seed_1824_exception_handling,city_values,generate_bpmn,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_generate_bpmn_tour_J09A_seed_4506_exception_handling,city_values,generate_bpmn,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_city_values_processadaptationmethod_generate_bpmn_tour_J09B_seed_4012_exception_handling,city_values,generate_bpmn,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_900_values_processadaptationmethod_generate_bpmn_tour_J09B_seed_4012_exception_handling,900_values,generate_bpmn,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_500_values_processadaptationmethod_generate_bpmn_tour_J09C_seed_4506_exception_handling,500_values,generate_bpmn,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.1,processadaptation_extension_mail_processadaptationmethod_generate_bpmn_tour_J09D_seed_4012_exception_handling,extension_mail,generate_bpmn,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
